0					
1	0	255	595000	0	
1	0	1	127500	0	
1	0	2	85000	0	
1	0	3	42500	0	
2	0	255	49000	0	
2	0	1	10500	0	
2	0	2	7000	0	
2	0	3	3500	0	
1	1	255	42000	0	
1	1	1	9000	0	
1	1	2	6000	0	
1	1	3	3000	0	
2	1	255	14000	650000	
2	1	1	3000	200000	
2	1	2	2000	100000	
2	1	3	1000	50000	
end					
					
1					
0	-1	0	255	77000	0
0	-1	0	0	5500	0
0	-1	0	1	3666	0
0	-1	0	2	1834	0
0	-1	0	3	5500	0
0	-1	0	4	3666	0
0	-1	0	5	1834	0
0	-1	0	6	5500	0
0	-1	0	7	3666	0
0	-1	0	8	1834	0
3	-1	0	255	34650	0
3	-1	0	0	2476	0
3	-1	0	1	1650	0
3	-1	0	2	826	0
3	-1	0	3	2476	0
3	-1	0	4	1650	0
3	-1	0	5	826	0
3	-1	0	6	2476	0
3	-1	0	7	1650	0
3	-1	0	8	826	0
4	-1	0	255	184100	0
4	-1	0	0	13150	0
4	-1	0	1	8766	0
4	-1	0	2	4384	0
4	-1	0	3	13150	0
4	-1	0	4	8766	0
4	-1	0	5	4384	0
4	-1	0	6	13150	0
4	-1	0	7	8766	0
4	-1	0	8	4384	0
1	-1	0	255	186200	0
1	-1	0	0	13300	0
1	-1	0	1	8866	0
1	-1	0	2	4434	0
1	-1	0	3	13300	0
1	-1	0	4	8866	0
1	-1	0	5	4434	0
1	-1	0	6	13300	0
1	-1	0	7	8866	0
1	-1	0	8	4434	0
2	-1	0	255	186200	0
2	-1	0	0	13300	0
2	-1	0	1	8866	0
2	-1	0	2	4434	0
2	-1	0	3	13300	0
2	-1	0	4	8866	0
2	-1	0	5	4434	0
2	-1	0	6	13300	0
2	-1	0	7	8866	0
2	-1	0	8	4434	0
0	3	0	255	700	0
0	3	0	0	50	0
0	3	0	1	34	0
0	3	0	2	16	0
0	3	0	3	50	0
0	3	0	4	34	0
0	3	0	5	16	0
0	3	0	6	50	0
0	3	0	7	34	0
0	3	0	8	16	0
0	-1	1	255	3500	0
0	-1	1	0	250	0
0	-1	1	1	166	0
0	-1	1	2	84	0
0	-1	1	3	250	0
0	-1	1	4	166	0
0	-1	1	5	84	0
0	-1	1	6	250	0
0	-1	1	7	166	0
0	-1	1	8	84	0
3	-1	1	255	1400	0
3	-1	1	0	100	0
3	-1	1	1	66	0
3	-1	1	2	34	0
3	-1	1	3	100	0
3	-1	1	4	66	0
3	-1	1	5	34	0
3	-1	1	6	100	0
3	-1	1	7	66	0
3	-1	1	8	34	0
4	-1	1	255	7700	0
4	-1	1	0	550	0
4	-1	1	1	366	0
4	-1	1	2	184	0
4	-1	1	3	550	0
4	-1	1	4	366	0
4	-1	1	5	184	0
4	-1	1	6	550	0
4	-1	1	7	366	0
4	-1	1	8	184	0
1	-1	1	255	9100	0
1	-1	1	0	650	0
1	-1	1	1	434	0
1	-1	1	2	216	0
1	-1	1	3	650	0
1	-1	1	4	434	0
1	-1	1	5	216	0
1	-1	1	6	650	0
1	-1	1	7	434	0
1	-1	1	8	216	0
2	-1	1	255	9100	0
2	-1	1	0	650	0
2	-1	1	1	433	0
2	-1	1	2	216	0
2	-1	1	3	650	0
2	-1	1	4	433	0
2	-1	1	5	216	0
2	-1	1	6	650	0
2	-1	1	7	433	0
2	-1	1	8	216	0
0	3	1	255	350	700000
0	3	1	0	25	58340
0	3	1	1	16	33340
0	3	1	2	8	8340
0	3	1	3	25	58330
0	3	1	4	16	33330
0	3	1	5	8	8330
0	3	1	6	25	58330
0	3	1	7	16	33330
0	3	1	8	8	8330
end					
					
2					
4	-1	0	255	76000	0
4	-1	0	0	16000	0
4	-1	0	1	10000	0
4	-1	0	2	5100	0
2	-1	0	255	34000	0
2	-1	0	0	7100	0
2	-1	0	1	4700	0
2	-1	0	2	2300	0
0	-1	0	255	180000	0
0	-1	0	0	38000	0
0	-1	0	1	25000	0
0	-1	0	2	12500	0
1	-1	0	255	180000	0
1	-1	0	0	39000	0
1	-1	0	1	26000	0
1	-1	0	2	13000	0
3	-1	0	255	185000	0
3	-1	0	0	38300	0
3	-1	0	1	25000	0
3	-1	0	2	13000	0
4	2	0	255	1400	0
4	2	0	0	300	0
4	2	0	1	200	0
4	2	0	2	100	0
4	-1	1	255	5250	0
4	-1	1	0	1125	0
4	-1	1	1	750	0
4	-1	1	2	375	0
2	-1	1	255	2100	0
2	-1	1	0	450	0
2	-1	1	1	300	0
2	-1	1	2	150	0
0	-1	1	255	11550	0
0	-1	1	0	2475	0
0	-1	1	1	1650	0
0	-1	1	2	825	0
1	-1	1	255	13650	0
1	-1	1	0	2925	0
1	-1	1	1	1950	0
1	-1	1	2	975	0
3	-1	1	255	13650	0
3	-1	1	0	2925	0
3	-1	1	1	1950	0
3	-1	1	2	975	0
4	2	1	255	1400	700000
4	2	1	0	300	175000
4	2	1	1	200	100000
4	2	1	2	100	25000
end					
					
3					
4	-1	0	255	76000	0
4	-1	0	0	16000	0
4	-1	0	1	10000	0
4	-1	0	2	5100	0
2	-1	0	255	34000	0
2	-1	0	0	7100	0
2	-1	0	1	4700	0
2	-1	0	2	2300	0
0	-1	0	255	180000	0
0	-1	0	0	38000	0
0	-1	0	1	25000	0
0	-1	0	2	12500	0
1	-1	0	255	180000	0
1	-1	0	0	39000	0
1	-1	0	1	26000	0
1	-1	0	2	13000	0
3	-1	0	255	185000	0
3	-1	0	0	38300	0
3	-1	0	1	25000	0
3	-1	0	2	13000	0
4	2	0	255	1400	0
4	2	0	0	300	0
4	2	0	1	200	0
4	2	0	2	100	0
4	-1	1	255	5250	0
4	-1	1	0	1125	0
4	-1	1	1	750	0
4	-1	1	2	375	0
2	-1	1	255	2100	0
2	-1	1	0	450	0
2	-1	1	1	300	0
2	-1	1	2	150	0
0	-1	1	255	11550	0
0	-1	1	0	2475	0
0	-1	1	1	1650	0
0	-1	1	2	825	0
1	-1	1	255	13650	0
1	-1	1	0	2925	0
1	-1	1	1	1950	0
1	-1	1	2	975	0
3	-1	1	255	13650	0
3	-1	1	0	2925	0
3	-1	1	1	1950	0
3	-1	1	2	975	0
4	2	1	255	1400	700000
4	2	1	0	300	175000
4	2	1	1	200	100000
4	2	1	2	100	25000
end					
					
4					
0	-1	0	255	76000	0
0	-1	0	0	16000	0
0	-1	0	1	10000	0
0	-1	0	2	5100	0
2	-1	0	255	34000	0
2	-1	0	0	7100	0
2	-1	0	1	4700	0
2	-1	0	2	2300	0
0	-1	0	255	180000	0
0	-1	0	0	38000	0
0	-1	0	1	25000	0
0	-1	0	2	12500	0
1	-1	0	255	180000	0
1	-1	0	0	39000	0
1	-1	0	1	26000	0
1	-1	0	2	13000	0
3	-1	0	255	185000	0
3	-1	0	0	38300	0
3	-1	0	1	25000	0
3	-1	0	2	13000	0
0	2	0	255	1400	0
0	2	0	0	300	0
0	2	0	1	200	0
0	2	0	2	100	0
0	-1	1	255	5250	0
0	-1	1	0	1125	0
0	-1	1	1	750	0
0	-1	1	2	375	0
2	-1	1	255	2100	0
2	-1	1	0	450	0
2	-1	1	1	300	0
2	-1	1	2	150	0
0	-1	1	255	11550	0
0	-1	1	0	2475	0
