1	"After reaching Lv.5, return to Shadow Phantom"	0	0																										
0	1	2	1	1	5	5	1700	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	-1	-1	-1	-1	-1	17	0	167	129	50	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
2	"Welcome to the world of MU"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	-1	-1	-1	-1	-1	17	0	167	129	50	50	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
3	"Tutorial: Press C"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	-1	-1	-1	-1	-1	17	0	167	129	50	500	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
4	"Tutorial: Press I"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	-1	-1	-1	-1	-1	17	0	167	129	50	500	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
5	"Bring an apple"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	14	0	5	-1	0	17	0	167	129	100	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
6	"Hunt Ring Scorpions in Noria"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
1	2	27	-1	3	-1	-1	27	3	136	79	250	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
7	"Hunt Budge Dragons in Lorencia"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0
1	2	2	-1	3	-1	-1	17	0	204	134	250	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
8	"Hunt Strange Rabbits in Elbeland"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1
1	2	418	-1	3	-1	-1	267	51	126	192	250	1000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
9	"Hunt Beetles in Noria"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
1	2	28	-1	30	-1	-1	27	3	102	83	5000	3000	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
10	"Hunt Hounds in Lorencia"	0	0																										
0	1	2	1	2	257	5	1700	0	-1	-1	-1	-1	0	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	0
