0	0.67	0.75	180	270	15	0.55
1	0.8	0.85	180	270	15	0.55
2	0.8	0.85	180	270	15	0.55
3	0.8	0.85	180	270	15	0.55
4	0.8	0.85	180	270	15	0.55
5	0.8	0.85	180	270	15	0.55
6	0.8	0.85	180	270	15	0.55
7	0.8	0.85	180	270	15	0.55
8	0.8	0.85	180	270	15	0.506
9	0.8	0.85	180	270	25	0.55
10	0.8	0.85	180	270	25	0.55
11	0.8	0.85	180	270	25	0.55
12	0.8	0.85	180	270	25	0.55
13	0.8	0.85	180	270	15	0.55
14	0.8	0.85	180	270	15	0.55
15	0.8	0.9	180	270	25	0.44
16	0.8	0.85	180	270	15	0.55
17	0.8	0.85	180	270	25	0.55
18	0.8	0.85	180	270	25	0.55
19	0.8	0.85	180	270	15	0.55
20	0.8	0.85	180	270	15	0.55
21	0.8	0.85	180	270	25	0.55
22	0.8	0.85	180	270	15	0.55
23	0.8	0.85	180	270	25	0.55
24	0.73	0.8	180	90	15	0.616
25	0.8	0.85	180	270	25	0.55
26	0.65	0.78	180	270	10	0.528
27	0.8	0.85	180	270	15	0.55
28	0.8	0.85	180	270	10	0.55
29	0.8	0.85	180	270	15	0.55
30	0.8	0.85	180	270	15	0.55
31	0.8	0.85	180	270	25	0.55
32	0.5	0.6	-90	0	0	0.77
33	0.5	0.6	0	0	0	0.77
34	0.5	0.6	0	0	0	0.77
35	0.5	0.6	0	0	0	0.66
36	0.8	0.85	180	270	15	0.55
37	0.8	0.85	180	270	25	0.55
39	0.59	0.19	0	90	0	0.396
40	0.5	0.5	-90	0	0	0.55
41	0.52	0.85	180	90	0	0.484
42	0.6	0.9	180	-90	10	0.616
43	0.75	0.84	0	91	204	0.484
44	0.6	0.9	180	-90	10	0.616
45	0.75	0.84	0	91	204	0.484
46	0.53	0.55	-90	0	0	0.77
47	0.58	0.81	0	98	182	0.462
48	0.8	0.85	180	270	15	0.55
49	0.8	0.85	180	270	25	0.55
50	0.5	0.6	0	0	0	0.77
51	0.5	0.85	0	90	190	0.506
52	0.53	0.51	-90	0	0	0.55
53	0.56	0.56	-90	0	0	0.55
54	0.6	0.9	180	-90	10	0.616
55	0.6	0.9	180	-90	10	0.616
56	0.53	0.485	-90	0	0	1.0978
57	0.6	0.898	180	-90	10	0.62535
58	0.6	0.862	180	-90	10	0.62535
59	0.53	0.485	-90	0	0	0.83985
60	0.5	0.5	-90	-20.16	0	0.7645
61	0.5	0.5	-90	-20.16	0	0.7645
62	0.5	0.9	-180	-65	8	0.66
63	0.704	0.75	-180	-94	6	0.572
64	0.5	0.5	-90	0	0	0.638
65	0.798	0.686	180	-90	15	0.55
66	0.798	0.696	180	-90	20	0.55
67	0.705	0.705	180	-90	20	0.55
68	0.798	0.686	180	-90	15	0.55
69	0.686	0.648	180	-90	10	0.55
70	0.622	0.761	180	-90	10	0.55
71	0.908	0.758	180	-90	16	0.6765
72	0.796	0.758	180	-90	20	0.6523
73	0.815	0.76	180	-90	8.64	0.4884
74	1.039	0.815	180	-90	16	0.6622
75	1.076	0.833	180	-90	14	0.65615
76	0.891	0.815	180	-90	14	0.6765
77	0.5	0.852	180	-90	10	0.6622
78	0.5	0.902	180	-78.75	6.75	0.6864
79	0.5	0.928	180	97.11	5.04	0.693
80	0.5	0.63	-90	0	0	0.72325
81	0.5	0.872	-180	-102.15	1.62	0.62535
82	0.5	0.909	-180	90.45	0	0.6314
83	0.5	0.771	-90	0	0	0.9075
84	0.5	0.815	180	-90	6.75	0.6413
85	0.5	0.872	-180	-102.15	1.62	0.62535
86	0.5	0.909	-180	90.45	0	0.6314
87	0.5	0.511	-90	0	0	0.9075
88	0.5	0.815	180	-90	6.75	0.6413
89	0.8	0.85	180	270	25	0.76835
90	0.8	0.85	180	270	25	0.75295
91	0.8	0.85	180	270	25	0.79915
92	0.8	0.85	180	270	25	0.75735
93	0.8	0.85	180	270	25	0.7425
94	0.8	0.85	180	270	25	0.7986
95	0.8	0.85	180	270	25	0.869
96	0.5	0.852	-180	-85.41	0	0.6314
97	0.5	0.872	-180	-87.12	0	0.6105
98	0.5	0.5	-90	0	0	0.71335
99	0.5	0.779	-180	-103.86	0	0.67155
100	0.761	0.891	-180	-97.92	25	0.93775
101	0.684	0.945	180	-77.04	9.18	0.57365
102	0.715	0.888	180	-77.04	9.18	0.5742
103	0.666	0.906	180	-77.04	9.18	0.57255
104	0.666	0.906	180	-77.04	9.18	0.57255
105	0.74	0.906	180	-77.04	9.18	0.6039
106	0.74	0.906	180	-77.04	9.18	0.6039
107	0.666	0.906	180	-77.04	9.18	0.6039
108	0.666	0.906	180	-77.04	9.18	0.6039
109	0.666	0.906	180	-77.04	9.18	0.57255
110	0.666	0.906	180	-77.04	9.18	0.6039
111	0.666	0.906	180	-77.04	9.18	0.6039
112	0.666	0.906	180	-77.04	9.18	0.6138
113	0.685	0.869	180	-77.04	5.76	0.6853
114	0.685	0.887	180	-77.04	5.76	0.61325
