17	"Energy Ball"	2	3	1	0	6	0	0	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	200	0	0
4	"Fire Ball"	5	8	3	0	6	0	40	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	197	0	0
11	"Power Wave"	9	14	5	0	6	0	56	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	195	0	0
3	"Lightning"	13	17	15	0	6	0	72	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	3	40	-1	-1	180	0	0
6	"Teleport"	17	0	30	0	6	0	88	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	2	1	0	0	-1	-1	-1	-1	100	0	0
2	"Meteor"	21	21	12	0	6	0	104	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	45	-1	-1	190	0	0
7	"Ice"	25	10	38	0	6	0	120	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	3	45	-1	-1	150	0	0
1	"Poison"	30	12	42	0	6	0	140	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	50	-1	-1	150	0	0
5	"Flame Pillar"	35	25	50	0	6	0	160	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0	3	100	-1	-1	120	0	0
8	"Tornado"	40	35	60	0	6	0	180	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	8	0	0	2	0	1	0	0	0	0	0	3	90	-1	-1	140	0	0
9	"Evil Spirit"	50	45	90	0	6	0	220	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	1	0	0	0	0	0	3	150	-1	-1	110	0	0
10	"Hell Fire"	60	120	160	0	3	0	260	0	0	0	0	6	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	10	0	0	2	0	1	1	0	1	0	0	3	200	-1	-1	130	0	0
