0								
326	0	128	0	128	-1	-1	-1	-1
327	5	151	-1	-1	-1	-1	-1	-1
328	4	70	4	71	-1	-1	-1	-1
329	5	152	5	153	-1	-1	-1	-1
330	0	129	0	129	0	132	-1	-1
331	2	52	6	86	-1	-1	-1	-1
332	0	130	0	130	-1	-1	-1	-1
333	3	35	6	85	-1	-1	-1	-1
334	6	84	-1	-1	-1	-1	-1	-1
335	5	156	5	156	-1	-1	-1	-1
336	2	53	6	97	-1	-1	-1	-1
337	0	131	0	131	-1	-1	-1	-1
338	0	134	6	83	-1	-1	-1	-1
339	4	69	4	69	-1	-1	-1	-1
340	5	157	5	154	-1	-1	-1	-1
341	5	155	6	130	-1	-1	-1	-1
342	0	133	-1	-1	-1	-1	-1	-1
343	5	158	5	159	-1	-1	-1	-1
374	2	70	6	112	-1	-1	-1	-1
344	0	135	0	135	-1	-1	-1	-1
345	5	160	-1	-1	-1	-1	-1	-1
346	4	73	4	74	-1	-1	-1	-1
347	5	161	5	162	-1	-1	-1	-1
348	0	136	0	136	0	139	-1	-1
349	2	73	6	118	-1	-1	-1	-1
350	0	137	0	137	-1	-1	-1	-1
351	3	36	6	117	-1	-1	-1	-1
352	6	116	-1	-1	-1	-1	-1	-1
353	5	165	5	165	-1	-1	-1	-1
354	2	74	6	119	-1	-1	-1	-1
355	0	138	0	138	-1	-1	-1	-1
356	0	141	6	115	-1	-1	-1	-1
357	4	72	4	72	-1	-1	-1	-1
358	5	166	5	163	-1	-1	-1	-1
359	5	164	6	131	-1	-1	-1	-1
360	0	140	-1	-1	-1	-1	-1	-1
361	5	167	5	168	-1	-1	-1	-1
375	2	75	6	113	-1	-1	-1	-1
end								
